temperature,vibration,pressure,current,rpm,humidity,voltage,acoustic_emission,remaining_useful_life,fault_severity
69.96,1.702,4.219,9.95,1473.7,40.6,399.0,46.1,433.9,0
81.15,3.725,4.227,16.02,1462.5,59.4,397.5,66.2,197.6,1
71.11,2.64,4.651,11.27,1465.1,51.5,402.0,47.1,441.2,0
68.31,3.9,4.544,9.96,1468.0,36.0,403.5,44.8,329.7,0
88.33,9.57,,21.4,1389.2,50.2,392.1,76.4,0.0,2
101.45,9.6,3.206,18.67,1369.3,54.0,390.8,74.5,71.8,2
57.89,1.46,4.705,11.83,1449.4,54.2,399.2,56.2,352.1,0
99.19,8.553,3.301,20.69,1371.6,65.4,390.0,86.8,46.3,2
59.66,2.818,4.637,7.75,1484.6,54.6,396.3,45.5,390.4,0
68.04,1.87,4.447,11.87,1501.3,63.0,397.8,46.9,470.5,0
63.39,5.134,4.281,15.79,1444.9,46.2,399.2,54.5,137.5,1
73.84,6.614,3.885,13.41,1467.4,35.8,398.3,56.2,158.3,1
65.29,2.941,4.752,12.39,1472.4,42.2,401.6,47.7,469.4,0
55.85,2.379,4.366,11.39,1452.9,58.7,398.6,46.5,413.5,0
68.55,2.026,4.446,13.08,1491.1,72.4,399.4,50.1,423.8,0
62.84,2.289,4.475,12.38,1470.0,49.5,398.2,41.6,399.7,0
98.86,9.881,3.295,22.12,1383.9,61.5,395.1,78.4,25.9,2
61.96,1.741,4.594,11.29,1450.4,27.9,401.3,54.7,409.1,0
73.86,1.493,4.935,14.92,1513.4,28.3,399.9,42.6,377.0,0
66.73,3.154,4.674,12.11,1481.4,47.8,397.2,48.7,380.0,0
81.0,6.179,4.35,14.9,1415.1,59.1,397.1,60.5,174.3,1
77.59,5.023,3.815,14.63,1456.5,63.3,396.0,66.4,138.7,1
54.23,3.829,4.389,13.69,1463.0,46.2,401.5,45.8,409.3,0
64.95,2.353,4.608,13.1,1463.0,63.6,402.9,55.6,414.9,0
66.04,3.14,4.955,9.47,1438.0,60.4,401.2,52.8,464.0,0
78.99,5.345,4.412,14.63,1439.8,49.4,398.8,66.4,110.9,1
75.35,6.792,3.464,15.76,1477.5,71.9,397.9,60.0,135.1,1
88.85,5.473,3.807,13.73,1462.5,79.4,403.2,65.1,187.3,1
60.48,2.236,4.554,14.21,1459.9,62.2,399.6,41.3,439.5,0
99.04,10.273,3.521,20.27,1385.4,58.8,388.8,81.6,0.0,2
79.51,4.555,,14.18,1444.5,69.7,398.0,64.5,172.8,1
95.97,8.822,,20.91,1415.9,50.0,391.9,79.9,63.0,2
67.68,2.641,4.671,13.61,1472.1,46.9,401.1,52.7,384.3,0
93.45,9.57,3.366,21.55,1391.6,61.6,393.5,82.5,17.7,2
60.04,2.359,4.753,11.91,1525.5,73.9,401.4,49.9,426.3,0
87.08,8.582,3.363,21.85,1397.8,63.4,395.1,78.3,55.0,2
